Name,model,forward_correction,y_steps,x_eps,feature,mechanism,dataset,y_eps,x_steps,test/acc_mean,test/acc_ci
017930f8-56f9-11ec-8764-b02628eae770,sage,True,0,0.01,raw,mbm,lastfm,2.0,4,49.203839638622256,6.522374364765671
0be8f442-56e0-11ec-9292-b02628e94326,sage,True,0,0.01,raw,mbm,lastfm,0.5,2,15.782044042913608,4.884740259740259
11fef30a-56da-11ec-8173-b02628e94326,sage,True,0,0.01,raw,mbm,lastfm,0.5,16,22.343308865047995,3.4624505928853697
1d88e98c-5708-11ec-acc4-b02628eae770,sage,True,0,0.01,raw,mbm,lastfm,1.0,8,26.77018633540373,9.767221908526256
32ef579e-56df-11ec-9eef-b02628eac520,sage,True,0,0.01,raw,mbm,lastfm,inf,8,74.97459062676454,2.78162055335968
450a5a88-56de-11ec-87f4-b02628ea5944,sage,True,0,0.01,raw,mbm,lastfm,1.0,16,22.02710333145116,5.847755505364203
46358536-56de-11ec-84ff-7079909e1a1f,sage,True,0,0.01,raw,mbm,lastfm,3.0,16,64.03162055335969,3.422007340485596
46a5127a-56d9-11ec-8670-b02628ea5944,sage,True,0,0.01,raw,mbm,lastfm,3.0,0,50.29361942405421,3.9753670242800716
4e320baa-56f8-11ec-a9a8-b02628eae770,sage,True,0,0.01,raw,mbm,lastfm,1.0,4,30.169395821569736,5.049265951439864
5bf47e0a-56d8-11ec-a3dd-b02628eae770,sage,True,0,0.01,raw,mbm,lastfm,inf,4,76.26764539808019,2.4341473743647626
5bf762be-56d8-11ec-b400-b02628ea8f8c,sage,True,0,0.01,raw,mbm,lastfm,2.0,16,51.174477696216826,5.080251270468658
65e9d1d4-570b-11ec-b232-b02628ead4aa,sage,True,0,0.01,raw,mbm,lastfm,0.5,0,13.60813099943535,2.7050395256916984
65ed8d56-570b-11ec-a6f3-b02628e94326,sage,True,0,0.01,raw,mbm,lastfm,1.0,0,21.055900621118013,3.506775832862788
78e9dc80-56dd-11ec-9956-b02628ea5944,sage,True,0,0.01,raw,mbm,lastfm,2.0,8,51.56408808582722,6.177653867871264
7c4c21f8-570a-11ec-85e7-b02628eac520,sage,True,0,0.01,raw,mbm,lastfm,0.5,8,15.431959345002824,3.3428853754940713
7c4e9adc-570a-11ec-a4ab-b02628e94326,sage,True,0,0.01,raw,mbm,lastfm,inf,0,67.75832862789385,1.8635657820440414
8bc11d96-570a-11ec-b290-b02628eae770,sage,True,0,0.01,raw,mbm,lastfm,2.0,0,39.24901185770751,5.009387351778656
8f316814-56fb-11ec-a7d9-b02628e94326,sage,True,0,0.01,raw,mbm,lastfm,inf,16,70.38396386222473,2.535573122529648
96835e56-56e2-11ec-ac90-b02628ea5944,sage,True,0,0.01,raw,mbm,lastfm,1.0,2,32.09486166007905,5.7557171089779775
c11780f8-56d7-11ec-bd8e-b02628ea8f8c,sage,True,0,0.01,raw,mbm,lastfm,0.5,4,18.1931112365895,5.517363071710896
c400d7c0-56d6-11ec-8091-b02628c5bee4,sage,True,0,0.01,raw,mbm,lastfm,3.0,2,62.68210050818747,3.09168548842462
e0288f1a-56f9-11ec-89d2-b02628eae770,sage,True,0,0.01,raw,mbm,lastfm,3.0,8,59.15866741953698,6.958427442123096
ec2d249a-570a-11ec-85a9-b02628eac520,sage,True,0,0.01,raw,mbm,lastfm,inf,2,74.472049689441,2.428430265386787
f07dede8-56da-11ec-9302-b02628ea8f8c,sage,True,0,0.01,raw,mbm,lastfm,3.0,4,65.00282326369282,5.155844155844154
f07f48aa-56da-11ec-b8d9-b02628e94326,sage,True,0,0.01,raw,mbm,lastfm,2.0,2,51.06154714850367,6.319734613212876
0be6587c-56e0-11ec-a026-b02628eae770,sage,True,2,0.01,raw,mbm,lastfm,inf,2,65.90626764539807,3.6850649350649363
0be86fea-56e0-11ec-b94d-b02628ea5944,sage,True,2,0.01,raw,mbm,lastfm,1.0,8,62.98701298701299,5.264539808018071
11faa124-56da-11ec-9ca1-b02628ea8f8c,sage,True,2,0.01,raw,mbm,lastfm,2.0,8,70.12422360248448,4.990259740259745
1d889676-5708-11ec-aba7-b02628eae770,sage,True,2,0.01,raw,mbm,lastfm,3.0,0,68.03500846979108,2.1346696781479366
1d90703a-5708-11ec-985c-b02628eac520,sage,True,2,0.01,raw,mbm,lastfm,1.0,2,68.42461885940148,3.4704263128176223
1d909916-5708-11ec-a730-b02628c5fc10,sage,True,2,0.01,raw,mbm,lastfm,inf,0,58.368153585544896,1.971696781479384
