Name,model,forward_correction,y_steps,x_eps,feature,mechanism,dataset,y_eps,x_steps,test/acc_mean,test/acc_ci
61f79a64-56a9-11ec-affb-70b5e8d11ed4,sage,True,8,0.01,raw,mbm,lastfm,inf,8,67.41389045736872,2.776185770750999
61f80c92-56a9-11ec-bf89-70b5e8d11ed4,sage,True,8,0.01,raw,mbm,lastfm,0.5,8,63.58554488989272,5.149844720496887
61f83d0c-56a9-11ec-825c-70b5e8d11ed4,sage,True,8,0.01,raw,mbm,lastfm,3.0,8,77.37436476566911,1.662972896668542
61fdb4f8-56a9-11ec-a4bd-70b5e8d11ed4,sage,True,8,0.01,raw,mbm,lastfm,3.0,2,77.17108977978543,2.205321852060969
6204acfe-56a9-11ec-9c0e-70b5e8d11ed4,sage,True,8,0.01,raw,mbm,lastfm,1.0,2,72.128740824393,1.4967532467532507
622812f2-56a9-11ec-8539-70b5e8d11ed4,sage,True,8,0.01,raw,mbm,lastfm,1.0,16,71.1518915866742,2.414384528514958
62473f42-56a9-11ec-9a6b-70b5e8d11ed4,sage,True,8,0.01,raw,mbm,lastfm,2.0,2,72.36589497459063,1.615471485036693
624cd9a2-56a9-11ec-b440-70b5e8d11ed4,sage,True,8,0.01,raw,mbm,lastfm,1.0,0,62.93054771315641,3.230237154150192
6255bb44-56a9-11ec-bba6-70b5e8d11ed4,sage,True,8,0.01,raw,mbm,lastfm,2.0,8,76.99040090344438,2.2533173348390676
7668002e-56a9-11ec-ba92-b8cb29afecb5,sage,True,8,0.01,raw,mbm,lastfm,0.5,16,65.89497459062677,4.376411631846409
7669a136-56a9-11ec-ad5a-b8cb29afe958,sage,True,8,0.01,raw,mbm,lastfm,2.0,16,72.12309429700734,3.312464709203823
7677e89a-56a9-11ec-8b78-b8cb29adb148,sage,True,8,0.01,raw,mbm,lastfm,3.0,16,73.15076228119706,2.846202710333152
7679ccd2-56a9-11ec-a71b-b8cb29ad4aed,sage,True,8,0.01,raw,mbm,lastfm,0.5,0,56.73630717108978,3.8104178430265385
767a16d8-56a9-11ec-998e-b8cb29acf981,sage,True,8,0.01,raw,mbm,lastfm,3.0,0,64.40993788819875,2.75289384528514
767be8d2-56a9-11ec-95e3-b8cb29acf8f5,sage,True,8,0.01,raw,mbm,lastfm,2.0,0,64.98588368153585,2.964709203839643
767e3a10-56a9-11ec-a5e3-b8cb29adb148,sage,True,8,0.01,raw,mbm,lastfm,3.0,4,76.85488424618859,1.3977978543195988
98ac6508-56a9-11ec-a957-70b5e8d11636,sage,True,8,0.01,raw,mbm,lastfm,inf,0,54.590626764539806,1.7166854884246199
98ae16aa-56a9-11ec-8db5-70b5e8d11636,sage,True,8,0.01,raw,mbm,lastfm,0.5,4,66.78147939017505,5.356295878035013
073a3216-56aa-11ec-9af7-70b5e8efd0c6,sage,True,16,0.01,raw,mbm,lastfm,1.0,2,66.60643704121965,3.153867871259177
074fe908-56aa-11ec-b617-70b5e8efd0c6,sage,True,16,0.01,raw,mbm,lastfm,2.0,8,70.41219649915303,3.405208921513278
075c41f8-56aa-11ec-88bd-70b5e8efd0c6,sage,True,16,0.01,raw,mbm,lastfm,1.0,0,59.401468097120265,3.499011857707508
1293ec38-56aa-11ec-876d-b8cb29ad468d,sage,True,16,0.01,raw,mbm,lastfm,1.0,8,67.43647656691135,3.456098249576513
129fc788-56aa-11ec-a8c7-b8cb29adb1d4,sage,True,16,0.01,raw,mbm,lastfm,inf,0,50.728402032749855,2.171583850931679
170f7e26-56aa-11ec-906f-b8cb29a915ce,sage,True,16,0.01,raw,mbm,lastfm,inf,4,62.25861095426312,2.6657961603613742
18d9c540-56aa-11ec-a5f7-b8cb29b1120d,sage,True,16,0.01,raw,mbm,lastfm,inf,8,66.87182382834557,1.510940146809709
19d203ea-56aa-11ec-8951-b8cb29b0722f,sage,True,16,0.01,raw,mbm,lastfm,3.0,4,72.70468661773009,2.499011857707508
19fa113c-56aa-11ec-867e-b8cb29ac15fe,sage,True,16,0.01,raw,mbm,lastfm,3.0,8,71.26482213438734,2.643492377188032
1c48715e-56aa-11ec-b3c6-b8cb29b1b29e,sage,True,16,0.01,raw,mbm,lastfm,0.5,8,64.09937888198758,3.7174618859401463
61f999e0-56a9-11ec-aef7-70b5e8d11ed4,sage,True,16,0.01,raw,mbm,lastfm,2.0,16,66.07001693958216,4.0938735177865695
623bad62-56a9-11ec-9d3d-70b5e8d11ed4,sage,True,16,0.01,raw,mbm,lastfm,1.0,4,69.98306041784302,1.7308723884810888
623f6f2e-56a9-11ec-935d-70b5e8d11ed4,sage,True,16,0.01,raw,mbm,lastfm,inf,2,62.31507622811971,2.4829192546583876
6241fa1e-56a9-11ec-8f40-70b5e8d11ed4,sage,True,16,0.01,raw,mbm,lastfm,0.5,16,64.1219649915302,3.2020750988142233
6249f098-56a9-11ec-84be-70b5e8d11ed4,sage,True,16,0.01,raw,mbm,lastfm,2.0,0,59.12478825522304,3.490259740259738
